Compañia,Desc. compañia,Auxiliar,Desc. auxiliar,Tercero,C.Costo,C.O. ,U.N.,Desc. Moneda alt.,Saldo inicial,Saldo final,Unnamed: 11,SCOA6DIG,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9
10,FIC DIVERSIFICADO MODERADO,411495144,(FR) DAVIVIENDACau No. 005070361620,,,1,99,PESOS,"0,0","-392180,92",,411495,Total pasivo + patrimonio,Patrimonio,Utilidad o perdida del ejercicio,Ingresos ordinarios,Otros rendimientos financieros,,,,
10,FIC DIVERSIFICADO MODERADO,411495150,OCCIDENTAL BANK BARBADOS LTD 509086 CTE,,,1,99,DOLARES,"0,0","-92297,74",,411495,Total pasivo + patrimonio,Patrimonio,Utilidad o perdida del ejercicio,Ingresos ordinarios,Otros rendimientos financieros,,,,
10,FIC DIVERSIFICADO MODERADO,411495192,(BA) DAVIVIENDA Cta Cau No.005070366645,,,1,99,PESOS,"0,0","-1264114,9",,411495,Total pasivo + patrimonio,Patrimonio,Utilidad o perdida del ejercicio,Ingresos ordinarios,Otros rendimientos financieros,,,,
10,FIC DIVERSIFICADO MODERADO,411495193,(BA) BCO BOGOTA Cau No. 049280159,,,1,99,PESOS,"0,0","-199079,96",,411495,Total pasivo + patrimonio,Patrimonio,Utilidad o perdida del ejercicio,Ingresos ordinarios,Otros rendimientos financieros,,,,
10,FIC DIVERSIFICADO MODERADO,412505105,TÍTULOS DE TESORERÍA -TES               ,,,1,99,PESOS,"0,0","-225545800,0",,412505,Total pasivo + patrimonio,Patrimonio,Utilidad o perdida del ejercicio,Ingresos ordinarios,A valor Razonable Instrumentos de Deuda.,,,,
10,FIC DIVERSIFICADO MODERADO,412917010,FUTUROS DE MONEDAS,,,1,99,PESOS,"0,0","-372722000,0",,412917,Total pasivo + patrimonio,Patrimonio,Utilidad o perdida del ejercicio,Ingresos ordinarios,,,,,
10,FIC DIVERSIFICADO MODERADO,412917020,UTILIDAD DERIVADOS DE MONEDA,,,1,99,PESOS,"0,0","-300686000,0",,412917,Total pasivo + patrimonio,Patrimonio,Utilidad o perdida del ejercicio,Ingresos ordinarios,,,,,
10,FIC DIVERSIFICADO MODERADO,510440010,COMP DE TRANSFERENCIA EN OPER REPO,,,1,99,PESOS,"0,0","47250,0",,510440,Total pasivo + patrimonio,Patrimonio,Utilidad o perdida del ejercicio,Costos y gastos,Gastos de operaciones,,,,
10,FIC DIVERSIFICADO MODERADO,510605115,OTROS EMISORES NACIONALES,,,1,99,PESOS,"0,0","41036400,0",,510605,Total pasivo + patrimonio,Patrimonio,Utilidad o perdida del ejercicio,Costos y gastos,Gastos de operaciones,Disminucion en el Valor Razonables inst. de Deuda,,,
10,FIC DIVERSIFICADO MODERADO,510805200,EMISORES EXTRANJEROS,,,1,99,PESOS,"0,0","1685332001,03",,510805,Total pasivo + patrimonio,Patrimonio,Utilidad o perdida del ejercicio,Costos y gastos,Gastos de operaciones,Disminución en el valor de mercado Inst. de Pat.,,,
10,FIC DIVERSIFICADO MODERADO,511325010,COMISION CUSTODIA FIJA                  ,,,1,99,PESOS,"0,0","5144790,51",,511325,Total pasivo + patrimonio,Patrimonio,Utilidad o perdida del ejercicio,Costos y gastos,Gastos de operaciones,Comisión custodia fija,,,
10,FIC DIVERSIFICADO MODERADO,511595070,COMISIONES OP DEL EXTERIOR,,,1,99,PESOS,"0,0","2401934,91",,511595,Total pasivo + patrimonio,Patrimonio,Utilidad o perdida del ejercicio,Costos y gastos,Gastos de operaciones,Comisión Bursatil,,,
10,FIC DIVERSIFICADO MODERADO,513015003,REVISORIA FISCAL                        ,,,1,99,PESOS,"0,0","3001554,66",,513015,Total pasivo + patrimonio,Patrimonio,Utilidad o perdida del ejercicio,Costos y gastos,Gastos de operaciones,Revisoría Fiscal,,,
10,FIC DIVERSIFICADO MODERADO,513535010,POR REEXPRESION DE OTROS ACTIVOS,,,1,99,PESOS,"0,0","267940022,19",,513535,Total pasivo + patrimonio,Patrimonio,Utilidad o perdida del ejercicio,Costos y gastos,Gastos de operaciones,Reexpresion de Activos,,,
10,FIC DIVERSIFICADO MODERADO,514005010,IMPUESTO A LOS MOVIMIENTOS FINANCIEROS  ,,,1,99,PESOS,"0,0","119683,3",,514005,Total pasivo + patrimonio,Patrimonio,Utilidad o perdida del ejercicio,Costos y gastos,Gastos de operaciones,Gravamen a los movimientos financieros,Impuestos y tasas,,
10,FIC DIVERSIFICADO MODERADO,519095030,DESVALORIZACION FONDOS ABIERTOS,,,1,99,PESOS,"0,0","41846368,16",,519095,Total pasivo + patrimonio,Patrimonio,Utilidad o perdida del ejercicio,Costos y gastos,Gastos de operaciones,Otros gastos de operación,,,
10,FIC DIVERSIFICADO MODERADO,590505015,CANCELACION DE INGRESOS RV,,,1,99,PESOS,"0,0","151272308,64",,590505,Total pasivo + patrimonio,Patrimonio,,,,,,,
10,FIC DIVERSIFICADO MODERADO,810505105,TÍTULOS DE TESORERÍA -TES               ,,,1,99,PESOS,"23181328088,48","16937823600,0",,810505,,,,,,,,,
10,FIC DIVERSIFICADO MODERADO,810505115,OTROS EMISORES NACIONALES               ,,,1,99,PESOS,"19335714600,0","15072658700,0",,810505,,,,,,,,,
14,FONDO DE CAPITAL PRIVADO ALTRA FCP1,111505492,(AL) BANCOLOMBIA Cta No.04872906865     ,,,1,99,PESOS,"39300839,4","231267393,48",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
14,FONDO DE CAPITAL PRIVADO ALTRA FCP1,111505494,(AI) BANCOLOMBIA Cta No.69000001701,,,1,99,PESOS,"254,12","262,86",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
14,FONDO DE CAPITAL PRIVADO ALTRA FCP1,111510002,(AL) BCOLOMBIA PANAMA Cta. 80100004087,,,1,99,DOLARES,"57391656,87","0,0",,111510,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos del Exterior,,,Disponible,
14,FONDO DE CAPITAL PRIVADO ALTRA FCP1,130210300,EMISORES EXTRANJEROS,,,1,99,PESOS,"2710372039,07","1744158852,72",,130210,Activo,,Activo no corriente,Inversiones a valor razonable con efectos en resultados,Instrumentos de patrimonio,,,Inversiones,
14,FONDO DE CAPITAL PRIVADO ALTRA FCP1,161695001,(AL) BANCOLOMBIA Cau No. 80100004087,,,1,99,PESOS,"85187,8","0,0",,161695,Activo,,Activo Corriente,Cuentas por cobrar,Deudores,,,,
14,FONDO DE CAPITAL PRIVADO ALTRA FCP1,161695002,(AL) BCOLOMBIA PANAMA Cta. 80100004087,,,1,99,PESOS,"14472,38","5574,0",,161695,Activo,,Activo Corriente,Cuentas por cobrar,Deudores,,,,
14,FONDO DE CAPITAL PRIVADO ALTRA FCP1,161695045,CUENTA CORRIENTE                        ,,,1,99,PESOS,"0,0","4177,82",,161695,Activo,,Activo Corriente,Cuentas por cobrar,Deudores,,,,
6,FONDO DE INVERSION COLECTIVA ACCIONES GLOBALES,352505010,PARTICIPACIONES EN FDO DE INVERSIÓN COLE,,,1,99,PESOS,"-25993001559,85","-21890476975,3",,352505,Total pasivo + patrimonio,Patrimonio,,Patrimonio especiales,Participaciones en fondos de inversión colectiva,,,,
6,FONDO DE INVERSION COLECTIVA ACCIONES GLOBALES,352510010,PARTICIPACIONES POR IDENTIFICAR,,,1,99,PESOS,"-226142,03","-217285,76",,352510,Total pasivo + patrimonio,Patrimonio,,Patrimonio especiales,Participaciones en fondos de inversión colectiva,,,,
